Train End Draw,Target Draw,Training Size,Strategy Version,Config Version,Config Hash,M1 Top6,M1 Hit@4,M1 Hit@5,M1 Hit@6,M2 Top6,M2 Hit@4,M2 Hit@5,M2 Hit@6,M3 Top6,M3 Hit@4,M3 Hit@5,M3 Hit@6,M4 Top6,M4 Hit@4,M4 Hit@5,M4 Hit@6,M5 Top6,M5 Hit@4,M5 Hit@5,M5 Hit@6,M6 Top6,M6 Hit@4,M6 Hit@5,M6 Hit@6,Ensemble Top6,Ensemble Hit@4,Ensemble Hit@5,Ensemble Hit@6,Random Expected Hit@4,Random Expected Hit@5,Random Expected Hit@6
48105,48106,15917,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,12 30 41 72 60 74,0,0,0,26 27 30 34 54 66,0,0,1,3 8 29 61 65 70,2,2,2,3 14 29 70 65 34,1,1,1,2 11 12 14 16 17,0,1,1,14 19 24 29 17 27,0,0,0,54 29 49 60 17 8,1,1,2,1.0,1.25,1.5
48106,48107,15918,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,12 41 49 66 72 74,2,2,2,26 34 54 66 27 30,1,1,1,3 8 29 70 39 34,2,3,3,3 29 34 70 61 49,1,1,1,3 4 6 8 16 20,1,1,1,14 19 24 29 17 44,1,1,1,49 8 54 17 29 66,1,2,3,1.0,1.25,1.5
48107,48108,15919,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,12 41 49 66 30 65,1,1,1,26 27 34 54 66 8,1,1,2,3 29 61 70 65 8,2,2,3,3 29 39 70 34 8,2,2,3,2 8 12 13 23 25,1,1,1,9 17 19 29 59 27,1,1,1,8 29 49 66 54 39,2,3,3,1.0,1.25,1.5
48108,48109,15920,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,12 30 41 49 20 8,1,2,2,8 26 27 34 54 66,1,1,1,8 29 34 70 39 65,1,2,2,14 29 61 70 3 12,1,2,2,1 8 18 20 21 29,1,1,2,9 19 29 49 59 57,2,2,2,29 8 54 49 66 33,2,2,2,1.0,1.25,1.5
48109,48110,15921,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,12 20 41 49 58 25,0,0,0,27 34 54 66 8 26,0,0,0,8 29 65 70 61 34,1,1,1,14 29 34 70 39 3,1,1,1,2 3 11 20 25 27,1,1,1,9 19 29 49 59 47,0,0,0,29 8 49 54 39 66,0,0,0,1.0,1.25,1.5
48110,48111,15922,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,12 20 41 49 65 25,0,1,2,27 34 54 66 8 26,3,3,3,3 8 29 70 61 39,1,2,2,3 29 34 70 61 63,2,3,3,2 7 10 14 16 17,3,4,4,9 19 29 49 59 48,1,1,1,29 8 49 54 17 20,1,1,1,1.0,1.25,1.5
48111,48112,15923,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,12 20 25 65 41 18,2,3,3,27 34 54 66 8 71,1,1,1,3 8 61 70 29 64,1,1,1,3 29 34 39 70 8,1,2,2,2 3 4 5 7 9,0,0,0,9 19 49 59 29 4,1,1,1,54 29 8 49 27 17,1,2,3,1.0,1.25,1.5
48112,48113,15924,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,12 20 49 65 74 41,3,4,5,27 34 54 66 8 39,0,0,0,8 29 54 65 34 39,0,0,0,3 29 39 70 65 14,0,0,1,17 20 26 27 31 32,1,2,3,9 19 49 59 29 54,1,1,1,49 54 29 17 65 27,1,1,1,1.0,1.25,1.5
48113,48114,15925,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,12 18 20 65 74 49,1,2,2,8 27 34 39 54 66,0,1,1,8 29 54 65 61 3,1,1,1,3 14 65 70 29 60,1,1,1,7 11 12 14 18 20,0,0,1,14 19 49 59 54 17,1,2,3,54 49 29 60 65 14,1,1,1,1.0,1.25,1.5
48114,48115,15926,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,12 20 25 74 49 18,1,1,2,8 27 39 54 66 26,1,1,2,8 29 65 70 34 54,2,2,3,3 29 54 70 14 61,2,2,2,17 20 24 25 28 35,1,2,2,14 19 54 59 20 60,2,2,2,54 49 29 20 39 65,2,2,3,1.0,1.25,1.5
