Train End Draw,Target Draw,Training Size,Strategy Version,Config Version,Config Hash,M1 Top6,M1 Hit@4,M1 Hit@5,M1 Hit@6,M2 Top6,M2 Hit@4,M2 Hit@5,M2 Hit@6,M3 Top6,M3 Hit@4,M3 Hit@5,M3 Hit@6,M4 Top6,M4 Hit@4,M4 Hit@5,M4 Hit@6,M5 Top6,M5 Hit@4,M5 Hit@5,M5 Hit@6,M6 Top6,M6 Hit@4,M6 Hit@5,M6 Hit@6,Ensemble Top6,Ensemble Hit@4,Ensemble Hit@5,Ensemble Hit@6,Random Expected Hit@4,Random Expected Hit@5,Random Expected Hit@6
31442,31443,500,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,10 25 32 69 80 6,3,4,5,16 22 29 36 42 11,0,0,0,22 23 42 57 34 73,1,2,3,3 5 14 42 57 22,0,1,1,2 3 6 12 16 24,3,3,4,12 16 19 79 9 72,2,2,2,16 57 36 22 29 11,1,1,1,1.0,1.25,1.5
31443,31444,501,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,10 25 32 39 69 80,0,0,0,16 22 36 42 11 29,2,2,2,22 23 57 66 35 42,2,3,4,23 28 42 51 5 73,2,2,2,1 2 6 10 12 24,2,2,2,9 19 69 79 2 72,2,3,3,57 36 16 22 73 11,2,2,2,1.0,1.25,1.5
31444,31445,502,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,6 10 25 57 32 69,0,0,0,16 22 36 42 57 11,0,0,0,3 23 34 66 42 5,0,0,0,23 34 35 66 14 42,0,0,0,2 6 9 15 16 17,2,2,3,9 19 69 79 2 12,1,1,1,57 16 9 79 67 22,1,2,2,1.0,1.25,1.5
31445,31446,503,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,6 10 24 57 39 69,1,2,2,15 16 17 22 36 42,1,2,2,5 22 23 57 42 3,1,1,1,3 22 42 57 34 14,1,2,2,4 9 15 17 24 31,2,2,2,9 19 69 79 2 6,1,1,1,57 9 67 22 16 46,1,1,1,1.0,1.25,1.5
31446,31447,504,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,6 24 39 57 69 10,0,1,1,15 16 17 22 36 57,1,2,2,22 34 42 57 21 23,1,1,2,3 14 34 57 23 28,0,1,2,1 4 8 11 12 15,2,2,2,9 19 69 79 12 15,1,1,1,57 15 36 22 9 11,2,2,3,1.0,1.25,1.5
31447,31448,505,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,6 39 57 69 24 10,0,0,0,11 15 17 22 36 57,0,0,0,22 28 34 57 9 23,0,1,2,14 22 35 57 3 34,1,1,1,4 5 11 22 23 26,0,1,1,9 19 69 79 16 6,2,2,2,57 22 11 29 36 67,1,1,1,1.0,1.25,1.5
31448,31449,506,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,39 57 60 69 10 4,1,1,1,11 15 17 22 29 36,0,1,1,5 22 23 28 57 66,0,0,1,20 28 42 57 22 35,0,0,1,2 9 12 14 23 29,0,0,1,9 19 69 79 12 2,0,0,0,29 57 79 11 22 9,1,1,1,1.0,1.25,1.5
31449,31450,507,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,6 39 57 60 69 29,0,1,1,11 17 22 29 36 57,0,0,0,23 51 57 66 35 64,1,1,1,3 22 42 57 13 5,1,2,2,6 25 29 31 35 38,1,1,2,9 19 69 79 59 65,2,2,2,29 57 51 11 73 67,1,1,1,1.0,1.25,1.5
31450,31451,508,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,2 39 60 69 57 6,0,0,0,11 15 17 22 29 36,1,1,1,13 22 23 42 57 66,3,3,4,3 22 23 42 57 28,2,2,2,1 2 3 10 13 15,0,1,1,5 9 19 65 69 15,0,0,0,79 51 29 15 57 2,0,0,0,1.0,1.25,1.5
31451,31452,509,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,2 12 39 69 57 71,1,1,2,11 15 17 22 36 57,1,1,1,22 23 51 66 42 35,1,1,1,14 23 42 57 34 28,0,0,0,12 13 22 25 26 27,1,1,1,6 9 19 66 69 16,2,2,2,51 2 57 42 22 66,0,0,1,1.0,1.25,1.5
31454,31455,511,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,2 12 39 71 53 40,2,2,2,11 15 17 22 36 9,1,2,3,3 5 22 66 73 51,2,2,2,3 22 42 66 57 35,3,3,4,2 3 19 21 27 33,2,2,2,5 9 65 69 75 79,1,1,1,51 55 66 73 9 3,1,2,3,1.0,1.25,1.5
31455,31456,512,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,2 12 39 71 35 80,1,1,2,15 17 22 36 9 10,1,1,1,9 22 34 42 66 57,1,1,1,23 57 64 66 34 42,0,0,0,2 3 4 8 9 10,1,1,1,5 6 9 76 2 66,1,1,1,9 66 2 42 3 55,0,0,0,1.0,1.25,1.5
31456,31457,513,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,2 39 71 80 53 55,0,0,0,9 10 11 15 17 22,3,3,4,22 23 51 66 34 42,1,1,1,22 23 42 66 14 5,1,2,3,6 8 19 21 22 25,0,1,2,5 6 9 76 1 79,2,2,3,66 9 29 79 2 42,2,2,2,1.0,1.25,1.5
31457,31458,514,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,2 12 71 79 55 25,0,0,0,9 10 15 17 22 36,1,1,2,9 23 51 57 42 5,1,1,1,22 23 35 42 51 28,1,1,1,5 7 9 10 12 14,0,0,1,5 6 9 79 2 75,0,0,0,9 79 66 22 15 42,0,1,1,1.0,1.25,1.5
31458,31459,515,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,35 40 54 71 55 25,3,3,3,9 10 15 22 36 17,2,2,3,9 22 34 57 35 42,2,3,3,23 34 35 66 28 22,2,3,3,3 8 14 15 16 18,1,1,1,5 6 9 15 2 10,1,1,2,9 15 79 35 3 66,2,2,2,1.0,1.25,1.5
31459,31460,516,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,35 40 54 71 61 9,1,1,2,9 10 15 17 22 36,1,1,1,9 22 34 57 28 35,1,2,2,5 23 35 66 14 9,1,2,3,9 10 12 14 17 20,2,2,2,2 5 6 9 10 15,2,2,2,9 15 14 61 79 35,2,2,2,1.0,1.25,1.5
31460,31461,517,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,9 40 54 71 3 55,2,2,2,9 10 15 17 22 29,0,0,1,23 35 51 66 29 57,1,2,3,3 5 22 57 29 42,2,3,3,1 3 4 6 9 14,1,1,1,2 5 6 9 4 10,1,1,1,9 29 3 14 66 15,1,1,1,1.0,1.25,1.5
31461,31462,518,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,35 40 54 71 29 3,0,0,1,9 22 29 36 10 15,1,2,2,5 35 57 66 51 9,0,0,0,14 22 34 42 57 3,1,1,2,1 5 19 20 21 24,1,2,2,2 5 6 9 10 1,1,2,2,9 29 14 19 3 5,1,2,2,1.0,1.25,1.5
31462,31463,519,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,3 35 40 54 71 61,2,2,3,9 10 22 29 36 15,1,1,1,9 22 42 66 23 34,1,2,2,14 22 23 66 42 34,2,2,2,3 6 8 10 13 18,3,4,4,2 5 6 9 10 1,1,2,2,9 3 22 14 66 19,1,2,2,1.0,1.25,1.5
31463,31464,520,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,3 40 54 61 71 21,0,1,2,9 10 22 29 36 15,2,2,3,5 23 57 66 73 51,2,2,2,9 35 57 66 22 28,1,2,3,3 5 8 10 13 17,1,1,1,5 6 9 10 2 1,1,1,2,9 3 66 5 61 73,0,0,0,1.0,1.25,1.5
31466,31467,522,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,3 21 30 40 54 10,0,0,0,9 10 22 36 15 29,0,0,0,22 23 34 57 35 9,2,2,2,3 9 35 57 23 34,1,1,2,1 8 9 11 13 25,1,1,2,4 5 9 10 2 6,0,0,0,9 34 22 3 35 10,1,1,1,1.0,1.25,1.5
31467,31468,523,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,3 30 40 53 28 61,0,0,0,9 22 36 57 61 65,1,1,1,5 22 34 57 23 9,1,1,1,9 14 22 34 35 3,0,0,0,11 14 16 20 25 28,2,2,2,4 5 9 10 6 75,1,1,2,9 14 34 22 3 57,0,0,1,1.0,1.25,1.5
31468,31469,524,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,3 21 40 53 30 28,0,0,0,9 22 57 75 10 29,1,2,2,5 13 22 57 28 34,0,0,0,3 22 28 29 20 34,0,1,1,2 10 11 12 19 20,1,1,2,5 6 9 10 1 4,1,1,1,10 20 57 9 29 34,2,2,2,1.0,1.25,1.5
31469,31470,525,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,8 10 30 40 14 28,0,0,0,9 10 57 75 22 29,1,2,2,22 23 29 57 9 34,2,2,2,22 34 57 66 14 23,2,2,2,8 10 14 15 20 25,1,1,1,2 4 5 6 10 1,1,1,1,14 57 20 9 34 29,1,1,1,1.0,1.25,1.5
31470,31471,526,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,8 10 28 30 14 73,1,1,2,9 10 15 22 29 57,0,0,0,11 22 23 57 42 35,1,1,2,9 14 23 57 21 34,1,2,3,4 7 11 15 17 22,1,1,1,2 5 6 9 10 4,0,0,1,57 15 22 73 14 9,1,1,1,1.0,1.25,1.5
31471,31472,527,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,28 30 35 73 10 57,2,2,3,9 10 22 29 36 57,0,1,2,23 34 35 57 22 66,1,1,2,3 22 23 42 34 57,1,1,2,3 4 21 23 24 28,0,0,1,5 6 9 35 2 4,0,0,0,34 57 73 35 15 22,2,3,3,1.0,1.25,1.5
31472,31473,528,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,28 57 58 73 35 10,2,3,3,9 10 15 22 36 57,0,1,2,22 57 66 73 5 21,2,2,2,3 22 42 57 34 14,2,2,3,7 12 13 15 27 28,1,1,1,2 5 6 9 10 75,0,0,0,57 73 15 34 3 35,2,3,4,1.0,1.25,1.5
31473,31474,529,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,28 35 57 73 58 3,0,0,0,9 10 15 22 36 57,0,0,0,3 9 57 73 35 22,0,0,0,22 42 57 66 35 14,2,2,2,3 4 12 14 18 32,1,1,1,5 6 9 35 75 4,0,1,2,57 73 3 35 14 15,0,0,0,1.0,1.25,1.5
31474,31475,530,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,28 35 57 73 80 33,2,2,2,9 10 15 22 29 36,1,1,1,22 42 57 66 23 3,2,2,2,3 14 42 57 35 5,1,2,2,2 4 7 11 26 27,1,1,1,5 6 55 75 9 2,2,2,2,57 73 3 35 29 14,1,1,1,1.0,1.25,1.5
31475,31476,531,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,28 35 57 73 80 33,0,0,0,9 15 22 29 36 57,0,1,1,3 22 23 35 34 42,0,1,2,3 35 57 66 14 34,0,0,1,1 8 11 19 22 25,1,1,1,2 5 35 55 75 6,0,0,0,55 35 57 22 3 11,0,0,0,1.0,1.25,1.5
31478,31479,533,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,33 57 73 76 42 28,1,2,2,9 36 57 61 73 10,2,2,2,23 42 66 73 5 57,1,2,3,3 35 42 57 66 34,2,2,3,2 5 13 16 26 27,2,3,3,5 25 55 75 35 15,2,2,2,73 57 55 42 79 34,2,2,3,1.0,1.25,1.5
31479,31480,534,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,42 57 73 76 28 33,1,1,2,9 36 57 61 73 75,2,2,3,23 42 57 66 22 28,2,3,3,14 34 42 57 3 20,2,2,3,1 5 6 16 18 19,1,1,1,5 25 75 76 15 35,2,2,2,57 34 42 73 55 11,2,2,2,1.0,1.25,1.5
31480,31481,535,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,34 42 57 59 73 76,1,1,1,36 57 61 75 73 9,2,2,2,22 34 57 66 28 9,0,0,0,14 34 42 57 55 3,0,0,0,10 16 20 22 25 33,0,0,1,5 35 75 76 25 71,1,1,2,57 34 73 22 11 42,0,1,1,1.0,1.25,1.5
31481,31482,536,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,42 57 59 73 33 76,0,0,0,11 36 57 61 67 73,1,1,1,5 34 57 73 42 51,0,0,0,35 42 57 66 67 14,0,0,0,5 11 15 26 30 33,0,1,1,71 75 76 79 80 35,1,1,1,73 57 11 34 42 15,0,0,0,1.0,1.25,1.5
31482,31483,537,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,33 42 57 59 26 75,0,1,2,11 36 57 61 67 73,0,0,0,22 57 66 73 51 34,0,0,1,28 42 57 73 66 22,0,0,0,2 4 10 12 19 23,1,2,2,71 75 76 79 80 72,1,1,1,73 57 79 55 36 42,0,0,0,1.0,1.25,1.5
31483,31484,538,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,26 33 42 59 27 75,1,1,1,11 36 57 61 73 75,0,0,0,22 34 42 57 66 35,2,3,4,22 23 34 35 57 14,3,3,3,2 7 8 14 18 19,0,1,1,71 75 76 79 80 72,0,0,0,34 57 36 35 20 55,2,2,2,1.0,1.25,1.5
31484,31485,539,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,26 33 42 59 27 74,0,0,1,11 36 57 61 73 9,0,0,1,23 35 42 66 34 9,1,1,2,22 35 57 66 23 14,0,1,1,3 6 13 18 22 26,1,1,1,71 74 75 76 79 80,2,2,3,35 34 22 79 55 57,0,0,0,1.0,1.25,1.5
31485,31486,540,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,26 27 37 39 59 74,0,0,0,9 36 57 61 75 10,1,1,2,5 22 23 34 66 57,1,1,1,34 42 57 66 3 14,0,0,0,1 9 10 13 16 23,2,3,3,71 74 75 76 80 79,0,0,0,34 79 35 67 57 55,1,1,1,1.0,1.25,1.5
31486,31487,541,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,26 27 59 74 30 18,1,2,3,9 10 36 57 61 75,1,1,1,21 22 34 55 57 13,1,1,2,22 42 57 66 35 28,0,0,0,1 10 12 16 18 19,0,1,2,40 71 75 80 31 35,1,1,1,36 35 34 22 19 10,0,1,1,1.0,1.25,1.5
31487,31488,542,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,18 26 30 74 19 46,0,0,0,9 10 11 36 57 61,1,1,1,3 22 42 51 34 23,1,1,1,3 14 42 57 34 22,0,0,1,3 4 9 11 13 18,0,1,1,35 40 75 80 31 71,2,2,3,19 34 36 22 55 46,1,1,1,1.0,1.25,1.5
31488,31489,543,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,26 30 41 74 18 19,1,2,2,9 10 11 16 36 57,1,2,2,22 23 57 66 42 51,1,1,1,3 23 42 57 66 35,0,0,0,1 10 13 16 17 22,1,1,2,31 35 71 75 40 80,0,1,2,35 79 22 16 55 13,2,2,2,1.0,1.25,1.5
31491,31492,545,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,19 26 30 41 18 16,0,0,1,10 16 36 57 61 75,1,1,2,3 13 35 57 22 5,1,1,1,22 34 42 57 35 66,2,2,2,4 8 13 19 27 32,2,2,2,35 71 74 75 80 40,1,1,1,22 34 13 35 19 79,2,2,2,1.0,1.25,1.5
31492,31493,546,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,16 26 30 41 18 39,0,1,1,10 16 36 57 61 75,1,2,2,22 34 42 57 23 13,2,2,2,22 42 57 66 73 23,2,2,2,6 8 12 13 16 17,1,1,1,35 75 76 80 71 74,1,1,1,34 79 22 36 16 13,1,1,1,1.0,1.25,1.5
31493,31494,547,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,16 18 26 30 41 39,1,1,1,10 16 36 75 22 57,2,2,2,3 22 42 57 35 34,0,0,1,22 34 42 57 23 66,1,1,1,1 6 7 10 11 18,4,5,6,71 75 76 80 35 40,1,1,1,22 34 10 13 16 79,3,3,3,1.0,1.25,1.5
31494,31495,548,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,18 34 39 41 26 60,2,2,2,10 36 61 75 16 22,0,0,0,22 34 35 42 11 13,1,1,1,3 22 34 35 14 57,1,1,1,1 6 7 10 11 13,1,1,1,31 71 75 80 76 35,2,2,3,34 22 13 10 61 16,0,0,0,1.0,1.25,1.5
31495,31496,549,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,18 27 30 41 60 13,0,0,0,10 16 36 57 61 75,3,3,3,34 35 57 66 21 19,1,1,1,14 23 34 42 22 3,1,2,2,6 8 12 18 19 21,2,2,2,31 71 75 76 80 36,1,1,1,34 22 35 13 19 10,1,1,2,1.0,1.25,1.5
31496,31497,550,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,18 30 37 60 27 13,0,1,1,10 16 36 57 75 22,2,2,3,22 42 57 73 54 34,2,3,3,28 34 35 42 73 66,0,0,1,8 10 12 15 16 22,1,1,2,31 71 75 80 35 76,0,0,1,22 35 34 13 16 10,1,1,2,1.0,1.25,1.5
31497,31498,551,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,10 13 18 27 30 22,1,1,1,10 16 57 75 22 36,1,1,1,10 22 51 57 66 9,0,0,0,22 35 42 57 14 34,1,1,2,5 7 9 10 14 22,0,0,0,31 35 71 75 76 11,1,1,1,22 10 54 35 61 51,0,0,0,1.0,1.25,1.5
31498,31499,552,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,13 18 27 56 22 32,1,1,1,10 16 57 75 22 36,0,0,1,22 34 42 57 36 5,0,1,1,34 35 42 57 22 3,0,0,0,8 12 16 17 18 28,1,1,2,31 71 76 80 11 51,1,1,2,34 22 16 35 10 42,0,0,0,1.0,1.25,1.5
31499,31500,553,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,13 18 27 60 16 22,1,1,1,10 36 57 75 16 22,1,1,1,22 28 35 51 73 57,1,2,2,22 42 57 66 35 3,0,0,0,1 4 17 19 27 28,0,0,0,31 71 72 76 80 11,1,1,1,22 61 34 13 10 51,1,1,2,1.0,1.25,1.5
31500,31501,554,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,18 27 46 56 60 16,1,1,1,10 36 57 61 75 16,2,2,2,23 57 64 73 22 34,2,3,4,20 22 42 57 35 34,3,3,4,5 8 9 15 38 39,1,2,3,31 71 72 76 80 51,1,1,1,22 73 51 68 46 10,2,3,4,1.0,1.25,1.5
31503,31504,556,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,27 46 56 60 17 76,1,2,3,10 22 36 57 61 75,1,1,1,22 34 57 73 66 42,1,1,1,22 34 42 73 35 13,0,1,1,6 11 16 17 21 23,1,1,2,31 36 40 71 76 80,1,2,2,34 73 22 61 16 38,0,0,0,1.0,1.25,1.5
31504,31505,557,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,17 27 56 60 76 61,0,0,0,10 22 36 57 61 75,1,1,2,22 34 52 57 51 3,0,0,0,22 35 42 66 34 57,1,1,1,15 17 23 24 26 29,1,2,2,31 36 40 71 80 32,1,1,1,34 22 57 61 29 73,0,0,1,1.0,1.25,1.5
31505,31506,558,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,46 56 60 76 17 61,2,2,2,10 16 22 36 57 61,1,1,1,22 42 57 66 13 34,1,1,1,3 34 57 73 35 42,0,1,1,2 9 10 11 13 15,1,1,1,31 36 71 76 40 80,1,2,3,73 34 42 57 22 11,0,0,0,1.0,1.25,1.5
31506,31507,559,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,44 46 56 76 60 6,1,1,1,10 57 61 75 16 22,1,1,1,34 35 51 66 27 73,2,2,2,22 42 57 73 51 5,1,1,1,6 10 19 26 27 29,1,1,1,31 36 40 80 76 71,0,0,0,73 46 34 57 10 38,2,2,3,1.0,1.25,1.5
31507,31508,560,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,6 44 46 56 17 31,0,0,0,10 22 29 36 57 61,0,0,0,22 34 42 57 66 35,0,0,1,22 34 35 42 57 66,1,1,1,7 8 12 18 20 26,1,1,1,31 36 40 76 32 38,1,2,2,34 57 73 10 35 42,0,1,1,1.0,1.25,1.5
31508,31509,561,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,10 44 46 49 76 38,1,1,1,10 16 22 36 57 74,1,1,1,23 35 51 57 22 3,0,0,0,22 23 42 66 34 35,0,0,0,3 4 12 14 16 23,2,2,2,32 36 40 76 31 34,1,2,2,35 57 38 34 74 29,0,0,0,1.0,1.25,1.5
31509,31510,562,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,44 46 72 76 38 37,1,2,3,10 36 57 75 16 22,0,0,1,22 28 34 57 29 5,1,1,1,3 34 42 57 22 73,1,2,2,2 4 7 12 15 28,2,2,2,31 32 36 40 34 38,0,0,1,57 34 29 35 15 72,0,0,0,1.0,1.25,1.5
31510,31511,563,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,12 37 38 44 46 74,1,1,2,10 57 74 75 22 36,1,1,1,22 34 42 57 66 21,0,0,0,14 34 35 42 67 66,0,0,0,7 11 12 18 20 21,1,2,2,31 32 36 40 34 38,0,0,0,57 42 46 79 35 22,0,0,0,1.0,1.25,1.5
31511,31512,564,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,37 38 44 46 74 76,1,1,1,10 57 74 75 22 36,0,0,1,5 22 34 57 42 35,0,0,0,22 28 34 35 66 9,0,1,2,1 2 8 15 18 20,1,1,1,31 36 38 40 32 34,2,2,2,57 74 54 15 38 22,1,1,1,1.0,1.25,1.5
31512,31513,565,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,44 46 61 74 49 48,1,1,2,10 57 74 75 36 61,1,1,1,22 34 35 66 57 13,1,2,2,22 34 42 57 28 9,1,1,1,3 4 8 9 14 19,2,2,2,31 36 71 76 34 38,0,0,0,61 38 54 57 34 21,2,2,2,1.0,1.25,1.5
31515,31516,567,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,4 37 44 48 61 74,1,2,2,10 36 57 61 74 75,1,1,2,22 28 34 57 66 23,2,2,2,9 34 35 57 73 36,1,1,1,1 2 4 8 9 10,1,1,1,31 36 38 71 32 34,1,1,2,36 35 34 57 61 54,1,2,3,1.0,1.25,1.5
31516,31517,568,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,26 31 37 44 48 54,1,1,1,10 57 61 74 75 22,0,0,1,22 34 42 66 57 35,1,1,1,22 35 42 57 23 66,1,2,2,1 12 16 22 26 27,2,2,3,31 32 36 71 34 38,0,0,1,54 61 34 35 57 42,0,0,0,1.0,1.25,1.5
31517,31518,569,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,44 48 49 62 37 54,2,2,2,10 22 57 61 75 36,0,1,2,22 34 35 66 57 42,1,1,1,22 35 42 57 34 20,0,1,1,5 8 16 19 22 23,0,0,0,31 32 34 36 71 72,3,3,3,34 22 54 16 38 57,1,2,2,1.0,1.25,1.5
31518,31519,570,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,37 44 48 49 54 26,3,3,4,10 22 36 57 61 74,1,1,1,22 23 34 57 42 52,1,2,3,22 34 35 42 29 5,2,2,2,6 7 21 24 30 32,0,0,0,31 32 34 36 72 76,1,1,1,34 36 29 74 22 35,1,1,1,1.0,1.25,1.5
31519,31520,571,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,26 44 48 49 54 37,0,1,1,10 22 36 57 61 74,1,2,2,22 34 57 66 42 9,1,1,1,34 35 42 57 22 73,0,1,2,2 10 11 14 26 27,1,1,2,32 34 36 46 76 42,1,1,1,34 46 42 44 52 35,0,0,0,1.0,1.25,1.5
31520,31521,572,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,27 44 48 49 37 54,3,3,3,10 22 57 61 74 75,0,0,1,3 35 42 57 51 73,1,1,1,22 34 42 57 35 3,0,0,1,3 7 11 15 22 25,3,3,4,32 36 42 46 72 76,1,1,1,54 34 61 42 22 79,0,0,0,1.0,1.25,1.5
31521,31522,573,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,27 44 48 54 4 7,0,0,1,10 57 61 74 75 22,2,3,3,22 34 35 57 3 51,3,3,3,22 34 35 42 57 3,2,3,3,3 4 7 11 12 14,1,1,1,32 34 36 42 72 46,1,1,2,34 54 22 79 61 3,1,1,1,1.0,1.25,1.5
