Window,Model,Evaluation Count,Mean Hit@4,Median Hit@4,Std Hit@4,Cumulative Hit@4,Lift@4,Mean Hit@5,Median Hit@5,Std Hit@5,Cumulative Hit@5,Lift@5,Mean Hit@6,Median Hit@6,Std Hit@6,Cumulative Hit@6,Lift@6
Last 25,M10,25,1.0,1.0,0.848528137423857,25,1.0,1.2,1.0,0.938083151964686,30,0.96,1.44,1.0,1.061319932913728,36,0.96
Last 50,M1,50,0.94,1.0,0.8811356308764274,47,0.94,1.32,1.0,1.0087616170334794,66,1.056,1.66,2.0,1.1594826432508596,83,1.1066666666666667
Last 50,M2,50,0.92,1.0,0.8681013765684283,46,0.92,1.08,1.0,0.8908422980528035,54,0.8640000000000001,1.28,1.0,0.8953211714239756,64,0.8533333333333334
Last 50,M3,50,0.98,1.0,0.7871467461661771,49,0.98,1.24,1.0,0.9499473669630334,62,0.992,1.52,1.0,1.0814804667676619,76,1.0133333333333334
Last 50,M4-A,50,1.04,1.0,0.8475848040166836,52,1.04,1.2,1.0,0.9165151389911681,60,0.96,1.5,1.0,1.02469507659596,75,1.0
Last 50,M4-B,50,0.9,1.0,0.754983443527075,45,0.9,1.1,1.0,0.7810249675906655,55,0.8800000000000001,1.34,1.0,0.8627861844049197,67,0.8933333333333334
Last 50,M4-C,50,1.04,1.0,0.8475848040166836,52,1.04,1.2,1.0,0.9165151389911681,60,0.96,1.5,1.0,1.02469507659596,75,1.0
Last 50,M4-D,50,1.02,1.0,0.7871467461661771,51,1.02,1.32,1.0,0.9682974749528163,66,1.056,1.68,2.0,1.1034491379306977,84,1.1199999999999999
Last 50,M4-E,50,1.2,1.0,0.8,60,1.2,1.34,1.0,0.8392854103342915,67,1.072,1.62,2.0,0.8919641248391104,81,1.08
Last 50,M4-F,50,1.04,1.0,0.7989993742175271,52,1.04,1.3,1.0,0.8544003745317531,65,1.04,1.56,1.0,0.9199999999999999,78,1.04
Last 50,M5,50,1.04,1.0,0.9583318840568751,52,1.04,1.34,1.0,0.9921693403849969,67,1.072,1.6,1.5,0.9797958971132713,80,1.0666666666666667
Last 50,M6,50,1.02,1.0,0.8829496021857646,51,1.02,1.2,1.0,0.9797958971132713,60,0.96,1.44,1.0,1.1516944039110375,72,0.96
Last 50,Ensemble,50,0.88,1.0,0.8158431221748456,44,0.88,1.18,1.0,0.9937806599043876,59,0.944,1.48,1.0,1.0047885349664376,74,0.9866666666666667
Last 50,M7,50,1.0,1.0,0.8,50,1.0,1.12,1.0,0.8863407922464136,56,0.8960000000000001,1.34,1.0,0.8627861844049196,67,0.8933333333333334
Last 50,M8,50,1.02,1.0,0.8121576201698781,51,1.02,1.2,1.0,0.9165151389911681,60,0.96,1.5,1.0,1.02469507659596,75,1.0
Last 50,M9,50,0.96,1.0,0.82365041127896,48,0.96,1.18,1.0,0.9314504817756015,59,0.944,1.42,1.0,1.0215674231297707,71,0.9466666666666667
Last 50,M10,50,0.94,1.0,0.8101851640211637,47,0.94,1.12,1.0,0.8634813257969162,56,0.8960000000000001,1.36,1.0,0.9541488353501251,68,0.9066666666666667
Last 100,M1,100,1.01,1.0,0.9109884741312593,101,1.01,1.35,1.0,0.9836157786453001,135,1.08,1.65,2.0,1.0331989159885913,165,1.0999999999999999
Last 100,M2,100,1.08,1.0,0.8447484832777151,108,1.08,1.3,1.0,0.9643650760992954,130,1.04,1.62,2.0,1.084250893474384,162,1.08
Last 100,M3,100,1.0,1.0,0.8,100,1.0,1.25,1.0,0.931396800509858,125,1.0,1.51,1.0,1.0148398888494676,151,1.0066666666666666
Last 100,M4-A,100,1.08,1.0,0.8328265125462806,108,1.08,1.27,1.0,0.9365361712181757,127,1.016,1.54,1.0,0.9941830817309255,154,1.0266666666666666
Last 100,M4-B,100,1.1,1.0,0.8306623862918076,110,1.1,1.35,1.0,0.9205976319760986,135,1.08,1.58,1.0,1.011731189595339,158,1.0533333333333335
Last 100,M4-C,100,1.08,1.0,0.8328265125462806,108,1.08,1.27,1.0,0.9365361712181757,127,1.016,1.54,1.0,0.9941830817309255,154,1.0266666666666666
Last 100,M4-D,100,1.08,1.0,0.7833262411026456,108,1.08,1.33,1.0,0.9061456836513652,133,1.064,1.61,2.0,1.0089103032480142,161,1.0733333333333335
Last 100,M4-E,100,1.14,1.0,0.8487638069569178,114,1.14,1.34,1.0,0.885663593019381,134,1.072,1.61,2.0,0.9684523736353793,161,1.0733333333333335
Last 100,M4-F,100,0.99,1.0,0.7415524256584964,99,0.99,1.2,1.0,0.8366600265340755,120,0.96,1.47,1.0,0.9322553298319083,147,0.98
